Station,lon,lat,Month,poc,sst,chlor_a,CAFE
P21,-139.4,49.38,1,80.87810738,7.257017062,0.280459518,288.6199007
P21,-139.4,49.38,2,78.16881753,6.9385372,0.298095006,306.8114967
P21,-139.4,49.38,3,79.72458654,6.605581548,0.296321279,361.6887054
P21,-139.4,49.38,4,78.30416375,7.010451163,0.280144835,429.7245321
P21,-139.4,49.38,5,72.22936477,8.278474328,0.24521764,545.8874416
P21,-139.4,49.38,6,72.69545068,10.055512,0.244111363,604.2651463
P21,-139.4,49.38,7,74.10003647,12.97477121,0.23749639,568.432539
P21,-139.4,49.38,8,78.12301869,14.792014,0.265457979,513.0800591
P21,-139.4,49.38,9,83.5646166,14.51065275,0.321449089,481.7610817
P21,-139.4,49.38,10,89.53602508,12.47492372,0.371979018,419.7657471
P21,-139.4,49.38,11,78.82488626,10.1450802,0.299479633,316.0742426
P22,-140.4,49.42,1,74.07908883,7.163634857,0.266351116,291.5028982
P22,-140.4,49.42,2,77.10398575,6.763224628,0.289270443,301.9290686
P22,-140.4,49.42,3,81.74424184,6.491243415,0.298733516,365.9436693
P22,-140.4,49.42,4,76.51876289,6.869038449,0.277583925,409.7900096
P22,-140.4,49.42,5,72.36128949,8.167787766,0.24953698,539.0731983
P22,-140.4,49.42,6,69.90118428,9.841256699,0.218114531,575.9030342
P22,-140.4,49.42,7,75.25746059,12.81632299,0.250563791,562.9493198
P22,-140.4,49.42,8,76.24962412,14.72886043,0.251485868,530.9515095
P22,-140.4,49.42,9,86.28393646,14.38774384,0.339509807,502.6314754
P22,-140.4,49.42,10,93.12892585,12.33557251,0.383668109,413.3271008
P22,-140.4,49.42,11,83.07248983,9.969995446,0.317889125,325.5029125
P23,-141.4,49.46,1,79.56103221,7.105992918,0.273559866,279.5401403
P23,-141.4,49.46,2,75.92221011,6.59180771,0.281752088,308.4657373
P23,-141.4,49.46,3,82.27104506,6.338272386,0.300437225,368.1109695
P23,-141.4,49.46,4,76.62667978,6.669346677,0.276310261,418.5601563
P23,-141.4,49.46,5,72.85190775,8.063867752,0.255913632,507.7996006
P23,-141.4,49.46,6,69.18104057,9.691541909,0.21190565,568.8920994
P23,-141.4,49.46,7,74.34937968,12.75897193,0.238342634,553.8846588
P23,-141.4,49.46,8,75.62365047,14.56396866,0.252907589,518.1181927
P23,-141.4,49.46,9,88.35249316,14.18009302,0.366543271,505.1426773
P23,-141.4,49.46,10,91.75837167,12.18017329,0.383023264,412.4007931
P23,-141.4,49.46,11,82.62439061,9.811950587,0.315450997,313.9273968
P24,-142.4,49.5,1,89.90713561,6.981206277,0.302081845,277.0515099
P24,-142.4,49.5,2,74.98730162,6.467534246,0.276148932,302.2171192
P24,-142.4,49.5,3,84.4288295,6.244830635,0.306227785,362.5858898
P24,-142.4,49.5,4,76.74750681,6.586445575,0.273849824,420.9239807
P24,-142.4,49.5,5,72.21831044,7.897056719,0.253072728,523.6923294
P24,-142.4,49.5,6,71.17411274,9.535745462,0.230469164,574.2807903
P24,-142.4,49.5,7,75.00283613,12.62147515,0.231773154,549.9990177
P24,-142.4,49.5,8,80.90896797,14.37412401,0.288158294,543.0454216
P24,-142.4,49.5,9,91.61968591,14.09665118,0.386243664,512.5432091
P24,-142.4,49.5,10,92.55089904,12.06055964,0.377641933,409.3384895
P24,-142.4,49.5,11,81.35740195,9.712018013,0.315704017,318.915905
P25,-143.66,50,1,68.91191331,6.67028646,0.243583647,259.9044771
P25,-143.66,50,2,76.56357578,6.223474214,0.272449522,290.4681673
P25,-143.66,50,3,83.43446971,5.97440966,0.303481127,361.8133659
P25,-143.66,50,4,77.71871367,6.33046328,0.281916849,421.7068217
P25,-143.66,50,5,76.16438777,7.590779064,0.263001698,535.5745239
P25,-143.66,50,6,76.68712779,9.302302583,0.258450847,583.8884144
P25,-143.66,50,7,77.70783059,12.01735599,0.246005687,570.9024582
P25,-143.66,50,8,87.01423905,14.0226122,0.320409467,558.476202
P25,-143.66,50,9,95.12524541,13.72754505,0.396893624,525.5111828
P25,-143.66,50,10,100.7472817,11.69391913,0.430521162,414.8381653
P25,-143.66,50,11,80.84808859,9.421959135,0.299777723,302.3782263